id,tokens,ner_tags
0,"['what', 'is', 'the', '2011', 'american', 'action', 'comedy', 'film', 'starring', 'jesse', 'eisenberg', 'as', 'a', 'pizza', 'delivery', 'driver']","[24, 24, 24, 11, 4, 16, 16, 24, 24, 0, 12, 24, 24, 7, 19, 19]"
1,"['what', 'is', 'the', 'movie', 'that', 'stars', 'heath', 'ledger', 'and', 'jake', 'gyllenhal', 'as', 'two', 'friends', 'from', 'out', 'west', 'who', 'develop', 'a', 'complex', 'and', 'intimate', 'relationship', 'together']","[24, 24, 24, 24, 24, 24, 0, 12, 24, 0, 12, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
2,"['what', 'is', 'the', '2010', 'movie', 'featuring', 'will', 'ferrell', 'and', 'mark', 'wahlberg', 'as', 'a', 'pair', 'of', 'incompatible', 'police', 'detectives']","[24, 24, 24, 11, 24, 24, 0, 12, 24, 0, 12, 24, 7, 19, 19, 19, 19, 19]"
3,"['this', 'disney', 'animated', 'classic', 'tells', 'the', 'story', 'of', 'a', 'beautiful', 'girl', 'who', 'is', 'being', 'hunted', 'by', 'an', 'evil', 'queen']","[24, 4, 16, 5, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
4,"['a', 'deformed', 'baby', 'is', 'abandoned', 'at', 'a', 'church', 'as', 'a', 'baby', 'and', 'he', 'grows', 'up', 'ringing', 'bells']","[7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
5,"['what', 'was', 'that', 'old', 'disney', 'movie', 'where', 'a', 'man', 'transforms', 'into', 'a', 'big', 'shaggy', 'sheep', 'dog']","[24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19]"
6,"['i', 'am', 'thinking', 'of', 'the', 'martin', 'scorsese', 'modern', 'classic', 'film', 'that', 'features', 'a', 'young', 'jodie', 'foster', 'as', 'a', 'child', 'prostitute']","[24, 24, 24, 24, 24, 3, 15, 4, 5, 24, 24, 24, 24, 24, 0, 12, 24, 24, 7, 19]"
7,"['i', 'am', 'thinking', 'of', 'the', 'epic', 'and', 'famous', 'battle', 'between', 'the', 'montagues', 'and', 'the', 'capulets', 'gardens']","[24, 24, 24, 24, 24, 24, 24, 5, 7, 19, 19, 19, 19, 19, 19, 19]"
8,"['i', 'am', 'thinking', 'of', 'the', 'classic', 'live', 'action', 'children', 's', 'film', 'that', 'tells', 'the', 'story', 'of', 'a', 'boy', 'who', 'wins', 'a', 'golden', 'ticket', 'to', 'go', 'on', 'a', 'sweet', 'tour']","[24, 24, 24, 24, 24, 4, 16, 16, 16, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
9,"['this', 'is', 'a', 'crazy', 'art', 'film', 'directed', 'by', 'fellini', 'where', 'there', 'are', 'multiple', 'scenes', 'with', 'women', 'and', 'dances', 'and', 'costumes']","[24, 24, 24, 24, 4, 16, 24, 24, 3, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19]"
10,"['what', 'is', 'the', 'name', 'of', 'the', 'movie', 'about', 'the', 'character', 'that', 'says', 'i', 'speak', 'for', 'the', 'trees', 'based', 'on', 'a', 'children', 's', 'book']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 8, 20, 20, 20, 20, 24, 24, 6, 18, 18, 18]"
11,"['i', 'am', 'thinking', 'of', 'the', 'animated', 'film', 'which', 'which', 'mike', 'myers', 'voices', 'the', 'title', 'character', 'green', 'ogre']","[24, 24, 24, 24, 24, 4, 24, 24, 24, 0, 12, 24, 24, 24, 24, 24, 24]"
12,"['what', 'is', 'the', 'name', 'of', 'the', 'movie', 'that', 'focuses', 'on', 'a', 'young', 'boy', 'who', 'finds', 'out', 'that', 'he', 'is', 'the', 'son', 'of', 'poseidon', 'and', 'has', 'to', 'recover', 'zeus', 'lightning', 'bolt']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
13,"['i', 'm', 'thinking', 'of', 'the', 'third', 'entry', 'in', 'a', 'movie', 'series', 'about', 'a', 'heroic', 'young', 'wizard']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19]"
14,"['a', '2012', 'movie', 'set', 'in', '1987', 'la', 'dealing', 'with', 'the', 'plot', 'of', 'a', 'popular', 'karaoke', 'journey', 'song']","[24, 11, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
15,"['what', 'animated', 'movie', 'features', 'a', 'clownfish', 'seeking', 'his', 'father', 'and', 'his', 'friends', 'with', 'the', 'help', 'of', 'some', 'comedic', 'sea', 'creatures']","[24, 4, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
16,"['which', 'animation', 'film', 'that', 'is', 'directed', 'by', 'james', 'cameron', 'features', 'the', 'voice', 'of', 'zoe', 'saldana']","[24, 4, 24, 24, 24, 24, 24, 3, 15, 24, 24, 24, 24, 0, 12]"
17,"['ren', 'e', 'zellweger', 'stars', 'as', 'a', 'social', 'worker', 'fights', 'to', 'save', 'a', 'girl', 'from', 'her', 'abusive', 'parents', 'only', 'to', 'discover', 'that', 'the', 'situation', 'is', 'more', 'dangerous', 'than', 'she', 'ever', 'expected', 'in', 'this', '2009', 'thriller']","[0, 12, 12, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 11, 4]"
18,"['this', 'romantic', 'drama', 'follows', 'history', 's', 'most', 'celebrated', 'playwright', 'as', 'he', 'woos', 'gwyneth', 'paltrow', 's', 'actress', 'as', 'he', 'conceives', 'the', 'tale', 'of', 'romeo', 'and', 'juliet']","[24, 4, 16, 24, 5, 17, 17, 17, 17, 24, 24, 24, 0, 12, 24, 24, 24, 7, 19, 19, 19, 19, 2, 7, 2]"
19,"['what', 'is', 'the', 'movie', 'where', 'a', 'large', 'jack', 'black', 'is', 'attacked', 'by', 'small', 'people']","[24, 24, 24, 24, 24, 24, 7, 0, 12, 7, 19, 19, 19, 19]"
20,"['what', 'movie', 'stars', 'kevin', 'cosner', 'as', 'a', 'treasury', 'agent', 'and', 'sean', 'connery', 'as', 'a', 'chicago', 'police', 'officer', 'that', 'team', 'up', 'to', 'take', 'on', 'al', 'capone']","[24, 24, 24, 0, 12, 24, 24, 7, 19, 24, 0, 12, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 2, 14]"
21,"['zachary', 'levy', 'and', 'mandy', 'moore', 'star', 'in', 'this', 'animated', 'film', 'which', 'was', 'also', 'disney', 's', 'first', 'cgi', 'fairytale', 'film']","[0, 12, 24, 0, 12, 24, 24, 24, 4, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
22,"['what', 'movie', 'told', 'the', 'story', 'of', 'boxer', 'jake', 'lamotta', 'and', 'his', 'volatile', 'relationship', 'with', 'his', 'wife', 'vickie']","[24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
23,"['what', 'movie', 'tells', 'the', 'story', 'on', 'a', 'young', 'indian', 'man', 'from', 'the', 'slums', 'who', 'finds', 'himself', 'on', 'a', 'game', 'show', 'and', 'through', 'it', 'relives', 'his', 'past']","[24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
24,"['novelist', 'graham', 'greene', 'wrote', 'the', 'screenplay', 'for', 'what', '1949', 'british', 'film', 'noir', 'that', 'starred', 'orson', 'welles']","[6, 18, 18, 24, 24, 24, 24, 24, 11, 4, 16, 16, 24, 24, 0, 12]"
25,"['this', 'movie', 'about', 'young', 'wizards', 'and', 'witches', 'was', 'the', '1', 'st', 'in', 'a', 'series', 'of', '8']","[24, 24, 24, 7, 19, 19, 19, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
26,"['what', '1937', 'disney', 'movie', 'includes', 'a', 'poison', 'apple', 'and', 'prince', 'charming', 'coming', 'to', 'the', 'rescue']","[24, 11, 4, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
27,"['what', '1937', 'french', 'film', 'examines', 'class', 'relationships', 'among', 'french', 'officers', 'who', 'are', 'prisoners', 'of', 'war']","[24, 11, 4, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
28,"['what', 'movie', 'is', 'based', 'on', 'the', 'philip', 'k', 'dick', 'short', 'story', 'we', 'can', 'remember', 'it', 'for', 'you', 'wholesale']","[24, 24, 24, 6, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
29,"['what', '1966', 'movie', 'starring', 'clint', 'eastwood', 'is', 'about', 'two', 'men', 'who', 'team', 'up', 'against', 'a', 'third', 'in', 'a', 'race', 'to', 'uncover', 'buried', 'treasure']","[24, 11, 24, 24, 0, 12, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
30,"['a', 'cult', 'classic', 'for', 'all', 'ages', 'about', 'true', 'love', 'told', 'as', 'a', 'fairy', 'tale', 'directed', 'by', 'rob', 'reiner']","[24, 4, 16, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 24, 24, 3, 15]"
31,"['i', 'am', 'thinking', 'of', 'an', 'award', 'winning', 'film', 'about', 'the', 'relationship', 'between', 'southern', 'white', 'women', 'and', 'the', 'black', 'women', 'who', 'raised', 'their', 'children']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
32,"['what', 'is', 'the', '1971', 'movie', 'directed', 'by', 'roman', 'polanski', 'featuring', 'an', 'ambitious', 'scottish', 'lord', 'who', 'siezes', 'the', 'throne', 'with', 'the', 'help', 'of', 'his', 'scheming', 'wife', 'and', 'a', 'trio', 'of', 'witches']","[24, 24, 24, 11, 24, 24, 24, 3, 15, 24, 7, 19, 19, 19, 24, 7, 19, 19, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
33,"['a', 'fat', 'panda', 'and', 'all', 'his', 'animal', 'friends', 'learn', 'kung', 'fu', 'and', 'fight', 'bad', 'guys']","[24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
34,"['which', 'french', 'set', 'animated', 'film', 'uses', 'the', 'voices', 'of', 'angela', 'lansbury', 'paige', 'o', 'hara', 'and', 'robby', 'benson']","[24, 24, 24, 4, 24, 24, 24, 24, 24, 0, 12, 12, 12, 12, 24, 0, 12]"
35,"['what', 'was', 'the', 'comedy', 'movie', 'starring', 'sacha', 'baron', 'cohen', 'about', 'a', 'middle', 'eastern', 'tyrant', 'that', 'co', 'starred', 'anna', 'faris']","[24, 24, 24, 4, 24, 24, 0, 12, 12, 24, 7, 19, 19, 19, 24, 24, 24, 0, 12]"
36,"['what', '1972', 'moving', 'starring', 'jon', 'voight', 'and', 'burt', 'reynolds', 'has', 'a', 'rafting', 'trip', 'turn', 'into', 'a', 'fight', 'to', 'stay', 'alive']","[24, 11, 24, 24, 0, 12, 24, 0, 12, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
37,"['which', 'film', 'marked', 'the', 'second', 'collaboration', 'between', 'director', 'quentin', 'tarantino', 'and', 'oscar', 'winner', 'christoph', 'waltz']","[24, 24, 24, 24, 9, 21, 24, 24, 3, 15, 24, 1, 13, 0, 12]"
38,"['paul', 'newman', 'and', 'robert', 'redford', 'played', 'two', 'famous', 'outlaws', 'in', 'this', 'film', 'featuring', 'the', 'oscar', 'winning', 'best', 'song', 'raindrops', 'keep', 'falling', 'on', 'my', 'head']","[0, 12, 24, 0, 12, 24, 24, 7, 19, 24, 24, 24, 24, 24, 1, 24, 24, 24, 10, 22, 22, 22, 22, 22]"
39,"['what', 'animated', 'movie', 'features', 'the', 'telling', 'of', 'charles', 'dicken', 's', 'classic', 'book', 'about', 'a', 'stingy', 'old', 'man', 'and', 'learning', 'about', 'christmas']","[24, 4, 16, 24, 24, 24, 24, 6, 18, 18, 18, 18, 24, 7, 19, 19, 19, 19, 19, 19, 19]"
40,"['what', 'is', 'the', '2010', 'movie', 'where', 'ben', 'affleck', 'and', 'jeremy', 'renner', 'rob', 'banks', 'and', 'eventually', 'fenway', 'park']","[24, 24, 24, 11, 24, 24, 0, 12, 24, 0, 12, 7, 19, 19, 19, 19, 19]"
41,"['in', 'hitchcock', 's', 'classic', 'film', 'a', 'young', 'woman', 'spends', 'the', 'evening', 'at', 'the', 'bates', 'motel', 'with', 'a', 'boy', 'and', 'his', 'mother']","[24, 3, 24, 5, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
42,"['what', 'is', 'the', 'movie', 'starring', 'charlize', 'theron', 'where', 'she', 'has', 'to', 'play', 'an', 'ugly', 'serial', 'killer']","[24, 24, 24, 24, 24, 0, 12, 24, 24, 24, 24, 24, 7, 19, 19, 19]"
43,"['which', 'film', 'stars', 'an', 'unintelligent', 'man', 'who', 'has', 'accidentally', 'been', 'present', 'at', 'many', 'historic', 'moments', 'but', 'his', 'true', 'love', 'jenny', 'eludes', 'him']","[24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
44,"['the', 'name', 'of', 'the', 'movie', 'from', 'a', 'couple', 'of', 'years', 'ago', 'about', 'those', 'three', 'little', 'animals', 'that', 'had', 'that', '80', 's', 'cartoon', 'that', 'are', 'castaway', 'on', 'an', 'island']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 6, 18, 18, 7, 19, 19, 19, 19, 19]"
45,"['i', 'am', 'thinking', 'of', 'the', '90', 's', 'era', 'mob', 'film', 'that', 'chronicles', 'the', 'activities', 'of', 'real', 'life', 'mobster', 'henry', 'hill', 'and', 'his', 'associates']","[24, 24, 24, 24, 24, 11, 23, 23, 4, 16, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
46,"['i', 'm', 'thinking', 'of', 'a', 'comedy', 'about', 'two', 'married', 'men', 'who', 'get', 'a', 'vacation', 'from', 'marriage']","[24, 24, 24, 24, 24, 4, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19]"
47,"['what', 'movie', 'does', 'the', 'tagline', 'in', 'space', 'no', 'one', 'can', 'hear', 'you', 'scream', 'belong', 'to']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
48,"['this', 'disney', 'movie', 'is', 'set', 'in', 'the', 'middle', 'east', 'and', 'involves', 'a', 'magic', 'genie', 'that', 'will', 'grant', 'wishes']","[24, 3, 24, 24, 24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19]"
49,"['a', 'hybrid', 'of', 'classic', 'silent', 'films', 'and', 'animated', 'comedy', 'this', 'film', 'follows', 'its', 'titular', 'character', 'trying', 'to', 'navigate', 'a', 'desolate', 'planet', 'and', 'seek', 'his', 'eva']","[24, 4, 24, 4, 16, 16, 24, 4, 16, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
50,"['this', '1991', 'disney', 'film', 'features', 'a', 'grotesque', 'hero', 'trying', 'to', 'gain', 'the', 'trust', 'and', 'ultimately', 'love', 'of', 'a', 'young', 'woman']","[24, 11, 4, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
51,"['name', 'the', '1971', 'crime', 'film', 'directed', 'by', 'famed', 'director', 'stanley', 'kubrick']","[24, 24, 11, 4, 24, 24, 24, 24, 24, 3, 15]"
52,"['i', 'm', 'thinking', 'of', 'a', '60', 's', 'era', 'disney', 'live', 'action', 'film', 'that', 'stars', 'haley', 'mills', 'as', 'a', 'girl', 'whose', 'smart', 'pet', 'helps', 'uncover', 'criminal', 'activity']","[24, 24, 24, 24, 24, 24, 24, 24, 4, 16, 16, 24, 24, 24, 0, 12, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19]"
53,"['what', 'quentin', 'tarantino', 'debut', 'tells', 'the', 'story', 'of', 'a', 'diamond', 'heist', 'gone', 'bad', 'and', 'names', 'the', 'characters', 'after', 'different', 'colors']","[24, 3, 15, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
54,"['i', 'am', 'thinking', 'of', 'a', 'classic', 'film', 'based', 'on', 'the', 'epic', 'margaret', 'mitchell', 'novel', 'about', 'a', 'southern', 'damsel', 'in', 'distress']","[24, 24, 24, 24, 24, 4, 24, 24, 24, 24, 5, 6, 18, 18, 24, 7, 19, 19, 19, 19]"
55,"['this', '1990', 'film', 'directed', 'by', 'the', 'coen', 'brothers', 'starred', 'gabriel', 'burne', 'as', 'a', 'double', 'crossing', 'mobster']","[24, 11, 24, 24, 24, 24, 3, 15, 24, 0, 12, 24, 24, 7, 19, 19]"
56,"['an', 'assumable', 'prequel', 'to', 'the', 'alien', 'series', 'of', 'films', 'by', 'ridley', 'scott', 'this', '2012', 'film', 'covers', 'the', 'voyages', 'of', 'explorers', 'dispatched', 'by', 'the', 'weyland', 'corporation']","[24, 24, 9, 24, 24, 24, 24, 24, 24, 24, 3, 15, 24, 11, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19]"
57,"['this', 'english', 'language', 'adaptation', 'of', 'the', 'swedish', 'novel', 'by', 'stieg', 'larsson', 'follows', 'a', 'disgraced', 'journalist', 'mikael', 'blomkvist', 'played', 'by', 'daniel', 'craig', 'as', 'he', 'investigates', 'the', 'disappearance', 'of', 'a', 'wealthy', 'patriarch', 's', 'niece', 'from', '40', 'years', 'ago']","[24, 4, 16, 6, 24, 24, 6, 18, 18, 18, 18, 24, 24, 24, 24, 2, 14, 24, 24, 0, 12, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
58,"['when', 'this', 'film', 'lost', 'the', 'best', 'picture', 'oscar', 'to', 'crash', 'many', 'critics', 'claimed', 'that', 'the', 'academy', 'was', 'uncomfortable', 'giving', 'the', 'award', 'to', 'a', 'movie', 'with', 'overt', 'homosexual', 'themes']","[24, 24, 24, 1, 13, 13, 13, 13, 13, 13, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
