,token,ner_tag
0,B-Actor,steve
1,I-Actor,mcqueen
2,O,provided
3,O,a
4,B-Plot,thrilling
5,I-Plot,motorcycle
6,I-Plot,chase
7,I-Plot,in
8,I-Plot,this
9,B-Opinion,greatest
10,I-Opinion,of
11,I-Opinion,all
12,B-Plot,ww
13,I-Plot,2
14,I-Plot,prison
15,I-Plot,escape
16,I-Plot,movies
17,B-Actor,liza
18,I-Actor,minnelli
19,O,and
20,B-Actor,joel
21,I-Actor,gray
22,B-Award,won
23,I-Award,oscars
24,O,for
25,O,their
26,O,roles
27,O,in
28,O,this
29,B-Year,1972
30,O,movie
31,B-Plot,that
32,I-Plot,follows
33,I-Plot,nightclub
34,I-Plot,entertainers
35,I-Plot,in
36,I-Plot,berlin
37,I-Plot,as
38,I-Plot,the
39,I-Plot,nazis
40,I-Plot,come
41,I-Plot,to
42,I-Plot,power
43,O,what
44,O,is
45,O,that
46,B-Actor,tom
47,I-Actor,hanks
48,O,and
49,B-Actor,julia
50,I-Actor,roberts
51,O,movie
52,O,about
53,B-Plot,hanks
54,I-Plot,who
55,I-Plot,plays
56,I-Plot,a
57,I-Plot,down
58,I-Plot,on
59,I-Plot,his
60,I-Plot,luck
61,I-Plot,average
62,I-Plot,guy
63,I-Plot,who
64,I-Plot,goes
65,I-Plot,back
66,I-Plot,to
67,I-Plot,college
68,I-Plot,and
69,I-Plot,gets
70,I-Plot,taught
71,I-Plot,by
72,I-Plot,roberts
73,O,what
74,O,is
75,O,the
76,O,movie
77,B-Plot,making
78,I-Plot,fun
79,I-Plot,of
80,I-Plot,macgyver
81,I-Plot,by
82,I-Plot,re
83,I-Plot,enacting
84,I-Plot,scenes
85,I-Plot,similar
86,I-Plot,to
87,I-Plot,his
88,I-Plot,movies
89,O,i
90,O,am
91,O,thinking
92,O,of
93,O,an
94,B-Genre,animated
95,O,film
96,B-Origin,based
97,I-Origin,on
98,I-Origin,a
99,I-Origin,classic
100,I-Origin,theodor
101,I-Origin,geisel
102,I-Origin,children
103,I-Origin,s
104,I-Origin,novel
105,O,about
106,B-Plot,a
107,I-Plot,young
108,I-Plot,boy
109,I-Plot,s
110,I-Plot,quest
111,I-Plot,to
112,I-Plot,save
113,I-Plot,the
114,I-Plot,trees
115,O,what
116,B-Year,1981
117,O,feature
118,O,film
119,O,starring
120,B-Actor,mel
121,I-Actor,gibson
122,B-Plot,takes
123,I-Plot,place
124,I-Plot,in
125,I-Plot,a
126,I-Plot,post
127,I-Plot,apocalyptic
128,I-Plot,world
129,I-Plot,in
130,I-Plot,australia
131,O,this
132,B-Director,steven
133,I-Director,speilberg
134,B-Genre,supernatural
135,O,story
136,O,of
137,O,a
138,B-Plot,haunted
139,I-Plot,house
140,O,made
141,O,many
142,O,filmgoers
143,O,afraid
144,O,of
145,O,clowns
146,O,in
147,O,what
148,B-Year,1997
149,O,movie
150,O,is
151,O,there
152,O,a
153,O,scene
154,O,featuring
155,O,muscians
156,O,playing
157,O,on
158,O,the
159,O,deck
160,O,of
161,O,a
162,O,ship
163,O,what
164,O,s
165,O,the
166,O,movie
167,O,with
168,B-Actor,julie
169,I-Actor,andre
170,O,where
171,B-Plot,she
172,I-Plot,sings
173,I-Plot,and
174,I-Plot,flies
175,I-Plot,with
176,I-Plot,an
177,I-Plot,umbrella
178,O,and
179,B-Actor,dick
180,I-Actor,van
181,I-Actor,dyke
182,O,what
183,O,is
184,O,the
185,O,movie
186,O,where
187,B-Actor,jbiebs
188,B-Plot,does
189,I-Plot,his
190,I-Plot,concerts
191,O,what
192,O,was
193,B-Director,banksy
194,O,the
195,O,star
196,O,and
197,O,director
198,O,doing
199,O,before
200,O,he
201,O,created
202,O,this
203,O,film
204,B-Actor,john
205,I-Actor,travolta
206,O,had
207,O,that
208,O,one
209,O,scene
210,O,where
211,O,he
212,O,had
213,O,to
214,O,jam
215,O,the
216,O,saving
217,O,rod
218,O,into
219,O,a
220,O,woman
221,O,s
222,O,chest
223,O,what
224,O,is
225,O,the
226,B-Year,1959
227,B-Genre,american
228,I-Genre,thriller
229,O,film
230,O,directed
231,O,by
232,B-Director,alfred
233,I-Director,hitchcock
234,O,and
235,O,starring
236,B-Actor,cary
237,I-Actor,grant
238,O,and
239,B-Actor,eva
240,I-Actor,marie
241,I-Actor,saint
242,O,i
243,O,m
244,O,thinking
245,O,of
246,O,an
247,B-Year,80
248,I-Year,s
249,B-Genre,comedy
250,I-Genre,film
251,O,that
252,O,stars
253,B-Actor,dustin
254,I-Actor,hoffman
255,O,and
256,B-Actor,terri
257,I-Actor,garr
258,O,where
259,O,hoffman
260,O,s
261,B-Plot,character
262,I-Plot,dresses
263,I-Plot,up
264,I-Plot,as
265,I-Plot,a
266,I-Plot,woman
267,I-Plot,to
268,I-Plot,land
269,I-Plot,a
270,I-Plot,job
271,O,what
272,O,movie
273,O,is
274,O,about
275,O,a
276,B-Plot,teenage
277,I-Plot,boy
278,I-Plot,getting
279,I-Plot,bit
280,I-Plot,by
281,I-Plot,a
282,I-Plot,radioactive
283,I-Plot,arachnid
284,I-Plot,and
285,I-Plot,gaining
286,I-Plot,super
287,I-Plot,powers
288,O,i
289,O,am
290,O,thinking
291,O,of
292,O,a
293,B-Opinion,blockbuster
294,B-Genre,science
295,I-Genre,fiction
296,O,film
297,O,that
298,O,stars
299,B-Actor,will
300,I-Actor,smith
301,O,and
302,B-Actor,tommy
303,I-Actor,lee
304,I-Actor,jones
305,O,as
306,B-Plot,undercover
307,I-Plot,agents
308,I-Plot,who
309,I-Plot,fight
310,I-Plot,intergalactic
311,I-Plot,beings
312,O,i
313,O,am
314,O,thinking
315,O,of
316,O,a
317,O,film
318,O,in
319,O,which
320,B-Plot,a
321,I-Plot,little
322,I-Plot,girl
323,I-Plot,s
324,I-Plot,house
325,I-Plot,accidentally
326,I-Plot,lands
327,I-Plot,on
328,I-Plot,top
329,I-Plot,of
330,I-Plot,a
331,I-Plot,witch
332,I-Plot,and
333,I-Plot,the
334,I-Plot,witches
335,I-Plot,sister
336,I-Plot,vows
337,I-Plot,revenge
338,O,what
339,B-Genre,baseball
340,I-Genre,film
341,O,starring
342,B-Actor,dennis
343,I-Actor,quaid
344,O,is
345,B-Origin,based
346,I-Origin,on
347,I-Origin,the
348,I-Origin,true
349,I-Origin,story
350,I-Origin,of
351,I-Origin,pitcher
352,I-Origin,jim
353,I-Origin,morris
354,O,a
355,B-Year,1939
356,O,movie
357,O,adaptation
358,O,of
359,O,1000
360,O,plus
361,O,page
362,O,book
363,O,starring
364,B-Actor,clark
365,I-Actor,gable
366,O,and
367,B-Actor,vivien
368,I-Actor,leigh
369,O,what
370,O,movie
371,O,was
372,O,inspired
373,O,by
374,O,a
375,O,very
376,B-Soundtrack,famous
377,I-Soundtrack,song
378,I-Soundtrack,by
379,I-Soundtrack,the
380,I-Soundtrack,beatles
381,B-Origin,and
382,I-Origin,written
383,I-Origin,by
384,I-Origin,paul
385,I-Origin,mccartney
386,O,i
387,O,m
388,O,thinking
389,O,of
390,O,a
391,O,movie
392,O,where
393,B-Plot,the
394,I-Plot,wimpy
395,I-Plot,main
396,I-Plot,character
397,I-Plot,befriends
398,I-Plot,a
399,I-Plot,fierce
400,I-Plot,animal
401,I-Plot,to
402,I-Plot,the
403,I-Plot,dismay
404,I-Plot,of
405,I-Plot,his
406,I-Plot,viking
407,I-Plot,community
408,O,what
409,O,film
410,O,did
411,B-Actor,billy
412,I-Actor,bob
413,I-Actor,thornton
414,O,win
415,O,an
416,B-Award,oscar
417,I-Award,for
418,I-Award,writing
419,O,what
420,B-Year,1979
421,B-Genre,musical
422,O,is
423,O,loosely
424,B-Plot,based
425,I-Plot,on
426,I-Plot,the
427,I-Plot,life
428,I-Plot,and
429,I-Plot,career
430,I-Plot,of
431,I-Plot,the
432,I-Plot,film
433,I-Plot,s
434,I-Plot,director
435,B-Director,bob
436,I-Director,fosse
